ID,Question,Choice_1,Choice_2,Choice_3,Choice_4,Answer
1,What is a polygon?,A shape with three sides,A closed shape with straight sides,A shape with curved sides,A shape with four sides,A closed shape with straight sides
2,Which of the following is not a polygon?,Triangle,Pentagon,Circle,Hexagon,Circle
3,How many sides does a heptagon have?,Five,Six,Seven,Eight,Seven
4,What is the sum of the interior angles of a quadrilateral?,180 degrees,270 degrees,360 degrees,90 degrees,360 degrees
5,Which polygon has interior angles that sum up to 180 degrees?,Hexagon,Pentagon,Triangle,Octagon,Triangle
6,What is the name of a polygon with 11 sides?,Decagon,Dodecagon,Undecagon,Hendecagon,Hendecagon
7,What shape is characterized by having all points equidistant from its center in three dimensions?,Cylinder,Cone,Sphere,Prism,Sphere
8,What is the name of a shape with eight faces?,Octahedron,Dodecahedron,Tetrahedron,Icosahedron,Octahedron
9,Which shape has two circular bases and a curved surface?,Cube,Sphere,Cone,Cylinder,Cylinder
10,What is a three-sided polygon called?,Quadrilateral,Pentagon,Triangle,Hexagon,Triangle
11,A polygon with eight sides is called a ________.,Hexagon,Octagon,Decagon,Heptagon,Octagon
12,What do you call a polygon with all sides and angles equal?,Equilateral,Isosceles,Regular,Irregular,Regular
13,How many diagonals does a hexagon have?,6,9,10,12,9
14,"A triangle with angles measuring 60 degrees, 60 degrees, and 60 degrees is called a ________.",Right-angled triangle,Equilateral triangle,Isosceles triangle,Scalene triangle,Equilateral triangle
15,What is the sum of the exterior angles of any polygon?,90 degrees,180 degrees,270 degrees,360 degrees,360 degrees
16,How many sides does a pentagon have?,Four,Five,Six,Seven,Five
17,What is the name of a polygon with ten sides?,Decagon,Octagon,Dodecagon,Heptagon,Decagon
18,Which polygon has interior angles that sum up to 540 degrees?,Pentagon,Heptagon,Octagon,Nonagon,Pentagon
19,A polygon with unequal side lengths and angles is called a ________.,Equilateral polygon,Regular polygon,Isosceles polygon,Irregular polygon,Irregular polygon
20,How many degrees are in the measure of each interior angle of a regular hexagon?,120 degrees,150 degrees,135 degrees,180 degrees,120 degrees
21,What is the sum of the exterior angles of a convex polygon?,90 degrees,180 degrees,270 degrees,360 degrees,360 degrees
22,Which polygon has the most sides?,Heptagon,Decagon,Nonagon,Dodecagon,Dodecagon
23,A polygon with five sides and five angles is called a ________.,Pentagon,Hexagon,Octagon,Quadrilateral,Pentagon
24,The sum of the exterior angles of any polygon is always equal to:,90 degrees,180 degrees,270 degrees,360 degrees,360 degrees
25,How many diagonals does an octagon have?,16,20,24,28,20
26,What type of triangle has all sides of equal length?,Scalene triangle,Isosceles triangle,Equilateral triangle,Right-angled triangle,Equilateral triangle
27,What is the sum of the interior angles of a nonagon?,1260 degrees,1440 degrees,1620 degrees,1800 degrees,1260 degrees
28,"If a polygon has at least one interior angle greater than 180 degrees, it is classified as:",Concave,Convex,Regular,Isosceles,Concave
29,A polygon with seven sides is called a __________.,Hexagon,Heptagon,Octagon,Nonagon,Heptagon
30,What is the name of a polygon with twelve sides?,Dodecagon,Hexagon,Decagon,Octagon,Dodecagon
31,What is the measure of each interior angle of a regular octagon?,120 degrees,135 degrees,150 degrees,90 degrees,135 degrees
32,How many diagonals does a pentagon have?,8,10,20,5,5
33,What is a polygon with four sides called?,Quadrilateral,Octagon,Pentagon,Hexagon,Quadrilateral
34,A polygon with nine angles is called a __________.,Octagon,Nonagon,Dodecagon,Decagon,Nonagon
35,What is a polygon that is both equilateral and equiangular called?,Convex polygon,Regular polygon,Concave polygon,Irregular polygon,Regular polygon
36,What is the sum of the interior angles of a triangle?,180 degrees,270 degrees,360 degrees,90 degrees,180 degrees
37,"If an octagon has one interior angle measuring 144 degrees, what is the size of its adjacent interior angle?",120 degrees,135 degrees,36 degrees,216 degrees,36 degrees
38,Which polygon has six interior angles and six sides?,Triangle,Square,Pentagon,Hexagon,Hexagon
39,A regular polygon has all interior angles measuring 108 degrees. What is the name of this polygon?,Hexagon,Pentagon,Octagon,Heptagon,Pentagon
